PR_URL,JDK_VERSION
https://github.com/jenkinsci/ostorlab-plugin/pull/20,17
https://github.com/jenkinsci/oversecured-plugin/pull/4,17
https://github.com/jenkinsci/pipeline-deploymon-plugin/pull/6,17
https://github.com/jenkinsci/pipeline-global-lib-nexus-plugin/pull/19,17
https://github.com/jenkinsci/pipeline-keep-running-step-plugin/pull/6,17
https://github.com/jenkinsci/portscanner-plugin/pull/3,17
https://github.com/jenkinsci/probely-security-plugin/pull/9,17
https://github.com/jenkinsci/project-description-setter-plugin/pull/3,17
https://github.com/jenkinsci/proxmox-plugin/pull/26,17
https://github.com/jenkinsci/publish-over-dropbox-plugin/pull/7,17
https://github.com/jenkinsci/publish-over-dropbox-plugin/pull/9,17
https://github.com/jenkinsci/qiniu-plugin/pull/11,17
https://github.com/jenkinsci/rabbitmq-publisher-plugin/pull/13,17
https://github.com/jenkinsci/rabbitmq-publisher-plugin/pull/17,17
https://github.com/jenkinsci/rapid7-insightvm-container-assessment-plugin/pull/36,17
https://github.com/jenkinsci/rapiddeploy-plugin/pull/3,17
https://github.com/jenkinsci/rapiddeploy-plugin/pull/5,17
https://github.com/jenkinsci/redmine-metrics-report-plugin/pull/1,17
https://github.com/jenkinsci/repo-plugin/pull/92,17
https://github.com/jenkinsci/report-info-plugin/pull/6,17
https://github.com/jenkinsci/report-info-plugin/pull/7,17
https://github.com/jenkinsci/report-info-plugin/pull/8,17
https://github.com/jenkinsci/run-condition-extras-plugin/pull/5,17
https://github.com/jenkinsci/sdelements-plugin/pull/3,17
https://github.com/jenkinsci/secure-post-script-plugin/pull/4,17
https://github.com/jenkinsci/select2-api-plugin/pull/101,17
https://github.com/jenkinsci/sematext-plugin/pull/5,17
https://github.com/jenkinsci/shortcut-job-plugin/pull/11,17
https://github.com/jenkinsci/skenai-plugin/pull/53,17
https://github.com/jenkinsci/snowsoftware-commander-plugin/pull/5,17
https://github.com/jenkinsci/sonargraph-integration-plugin/pull/11,17
https://github.com/jenkinsci/sonargraph-integration-plugin/pull/13,17
https://github.com/jenkinsci/sonargraph-integration-plugin/pull/14,17
https://github.com/jenkinsci/split-admin-plugin/pull/4,17
https://github.com/jenkinsci/split-admin-plugin/pull/6,17
https://github.com/jenkinsci/stackrox-container-image-scanner-plugin/pull/1,17
https://github.com/jenkinsci/stash-pullrequest-builder-plugin/pull/189,17
https://github.com/jenkinsci/statuspage-gating-plugin/pull/55,17
https://github.com/jenkinsci/sweagle-plugin/pull/16,17
https://github.com/jenkinsci/tanaguru-plugin/pull/2,17
https://github.com/jenkinsci/teams-webhook-trigger-plugin/pull/7,17
https://github.com/jenkinsci/tekton-client-plugin/pull/362,17
https://github.com/jenkinsci/tekton-client-plugin/pull/376,17
https://github.com/jenkinsci/testcafe-plugin/pull/5,17
https://github.com/jenkinsci/testflo-for-jira-test-management-automation-plugin/pull/24,17
https://github.com/jenkinsci/testweaver-plugin/pull/4,17
