Name	Installation Count (June 2025)	Java 25 pull request	Is merged?
aws-java-sdk	19766		FALSE
locale	19744		FALSE
aws-java-sdk-iam	19322		FALSE
aws-java-sdk-cloudformation	19278		FALSE
aws-java-sdk-elasticbeanstalk	19273		FALSE
ssh-steps	19010		FALSE
jnr-posix-api	18642		FALSE
simple-theme-plugin	18572		FALSE
blueocean-jira	18162		FALSE
aws-java-sdk-sqs	18098		FALSE
aws-java-sdk-sns	18070		FALSE
authorize-project	17816		FALSE
gitlab-api	17720		FALSE
bitbucket	17557		FALSE
aws-java-sdk-ecs	17467		FALSE
analysis-model-api	17346		FALSE
aws-java-sdk-ssm	17017		FALSE
aws-java-sdk-codebuild	17008		FALSE
aws-java-sdk-logs	17003		FALSE
jsoup	16575		FALSE
warnings-ng	16517		FALSE
emailext-template	16457		FALSE
mask-passwords	16216		FALSE
artifactory	16156		FALSE
badge	15990		FALSE
throttle-concurrents	15961		FALSE
parameterized-scheduler	15931		FALSE
aws-java-sdk-efs	15880		FALSE
extended-read-permission	15753		FALSE
Office-365-Connector	15625		FALSE
powershell	15283		FALSE
ansible	15207		FALSE
commons-httpclient3-api	15165		FALSE
monitoring	15109		FALSE
pipeline-maven-api	14878		FALSE
nodelabelparameter	14572		FALSE
code-coverage-api	14498		FALSE
saml	14452		FALSE
msbuild	14379		FALSE
built-on-column	14278		FALSE
multiple-scms	14202		FALSE
jacoco	14145		FALSE
groovy-postbuild	14137		FALSE
build-pipeline-plugin	14035		FALSE
prometheus	13834		FALSE
aws-java-sdk-secretsmanager	13736		FALSE
aws-java-sdk-kinesis	13710		FALSE
h2-api	13639		FALSE
postbuild-task	13589		FALSE
aws-java-sdk-lambda	13082		FALSE
aws-java-sdk-elasticloadbalancingv2	13079		FALSE
aws-java-sdk-organizations	13079		FALSE
aws-java-sdk-cloudfront	13078		FALSE
aws-java-sdk-codedeploy	13073		FALSE
aws-java-sdk-api-gateway	13068		FALSE
coverage	12971		FALSE
cobertura	12917		FALSE
allure-jenkins-plugin	12686		FALSE
job-import-plugin	12562		FALSE
extensible-choice-parameter	12498		FALSE
cvs	12466		FALSE
icon-shim	12384		FALSE
node-iterator-api	12140		FALSE
ivy	11867		FALSE
build-timestamp	11847		FALSE
pipeline-aws	11792		FALSE
Parameterized-Remote-Trigger	11665		FALSE
aws-java-sdk2-core	11631		FALSE
aws-java-sdk2-ec2	11604		FALSE
gitlab-oauth	11161		FALSE
xunit	11048		FALSE
oauth-credentials	10958		FALSE
jenkins-multijob-plugin	10857		FALSE
build-monitor-plugin	10796		FALSE
embeddable-build-status	10787		FALSE
build-with-parameters	10777		FALSE
aws-java-sdk-autoscaling	10715		FALSE
dtkit-api	10540		FALSE
github-pullrequest	10091		FALSE
build-blocker-plugin	9624		FALSE
greenballs	9592		FALSE
github-oauth	9584		FALSE
docker-build-step	9550		FALSE
basic-branch-build-strategies	9450		FALSE
gitlab-branch-source	9411		FALSE
view-job-filters	9211		FALSE
performance	9201		FALSE
cloudbees-disk-usage-simple	9164		FALSE
postbuildscript	9157		FALSE
google-oauth-plugin	9153		FALSE
kubernetes-cli	9041		FALSE
ec2	9009		FALSE
naginator	8894		FALSE
saferestart	8731		FALSE
translation	8721		FALSE
log-parser	8436		FALSE
audit-trail	8370		FALSE
azure-sdk	8269		FALSE
python	8157		FALSE
build-token-root	8110		FALSE
cucumber-reports	7987		FALSE
description-setter	7879		FALSE
pipeline-github	7874		FALSE
dependency-check-jenkins-plugin	7827		FALSE
hashicorp-vault-plugin	7623		FALSE
deploy	7567		FALSE
hidden-parameter	7436		FALSE
pipeline-multibranch-defaults	7195		FALSE
promoted-builds	7112		FALSE
disk-usage	7074		FALSE
jquery-ui	7029		FALSE
file-operations	7025		FALSE
flatpickr-api	6943		FALSE
amazon-ecr	6843		FALSE
file-parameters	6802		FALSE
next-build-number	6799		FALSE
plugin-usage-plugin	6745		FALSE
robot	6681		FALSE
m2release	6669		FALSE
s3	6420		FALSE
validating-string-parameter	6316		FALSE
atlassian-bitbucket-server-integration	6303		FALSE
nested-view	6204		FALSE
parameter-separator	6126		FALSE
test-results-analyzer	6121		FALSE
docker-build-publish	6101		FALSE
ghprb	6025		FALSE
configurationslicing	5945		FALSE
nexus-artifact-uploader	5901		FALSE
testng-plugin	5898		FALSE
analysis-core	5836		FALSE
text-finder	5826		FALSE
stashNotifier	5796		FALSE
git-changelog	5795		FALSE
aws-java-sdk-cloudwatch	5673		FALSE
extra-columns	5562		FALSE
scriptler	5558		FALSE
publish-over-ftp	5527		FALSE
strict-crumb-issuer	5481		FALSE
delivery-pipeline-plugin	5411		FALSE
permissive-script-security	5354		FALSE
pipeline-npm	5336		FALSE
github-organization-folder	5325		FALSE
gerrit-trigger	5275		FALSE
kubernetes-credentials-provider	5244		FALSE
discard-old-build	5226		FALSE
swarm	5194		FALSE
dingding-notifications	5125		FALSE
sidebar-link	5114		FALSE
emoji-symbols-api	5076		FALSE
oic-auth	5055		FALSE
schedule-build	5039		FALSE
skip-certificate-check	4970		FALSE
gitlab-merge-request-jenkins	4898		FALSE
flexible-publish	4843		FALSE
build-failure-analyzer	4802		FALSE
p4	4740		FALSE
azure-credentials	4696		FALSE
azure-ad	4662		FALSE
job-restrictions	4621		FALSE
global-build-stats	4567		FALSE
sonar-quality-gates	4566		FALSE
ssh2easy	4518		FALSE
multibranch-scan-webhook-trigger	4481		FALSE
login-theme	4478		FALSE
global-slack-notifier	4444		FALSE
ruby-runtime	4420		FALSE
plot	4396		FALSE
startup-trigger-plugin	4319		FALSE
versionnumber	4308		FALSE
preSCMbuildstep	4275		FALSE
jira-steps	4219		FALSE
bitbucket-push-and-pull-request	4115		FALSE
docker-compose-build-step	4097		FALSE
pipeline-githubnotify-step	4095		FALSE
google-login	4040		FALSE
date-parameter	3929		FALSE
xvfb	3922		FALSE
golang	3892		FALSE
configuration-as-code-groovy	3885		FALSE
JDK_Parameter_Plugin	3871		FALSE
backup	3868		FALSE
folder-properties	3859		FALSE
gitlab-logo	3816		FALSE
build-environment	3801		FALSE
mina-sshd-api-scp	3787		FALSE
bitbucket-build-status-notifier	3697		FALSE
PrioritySorter	3695		FALSE
nunit	3660		FALSE
terraform	3649		FALSE
docker-slaves	3627		FALSE
pyenv-pipeline	3621		FALSE
dependency-track	3612		FALSE
database	3605		FALSE
junit-attachments	3592		FALSE
purge-job-history	3592		FALSE
mstest	3585		FALSE
nexus-jenkins-plugin	3566		FALSE
list-git-branches-parameter	3515		FALSE
azure-commons	3414		FALSE
categorized-view	3414		FALSE
checkmarx	3411		FALSE
persistent-parameter	3382		FALSE
atlassian-jira-software-cloud	3331		FALSE
customizable-header	3317		FALSE
versioncolumn	3307		FALSE
amazon-ecs	3295		FALSE
gitea	3267		FALSE
dynamic_extended_choice_parameter	3261		FALSE
periodicbackup	3248		FALSE
support-core	3237		FALSE
mail-watcher-plugin	3215		FALSE
claim	3207		FALSE
pipeline-aggregator-view	3185		FALSE
xcode-plugin	3168		FALSE
material-theme	3117		FALSE
custom-tools-plugin	3080		FALSE
git-push	3044		FALSE
bitbucket-pullrequest-builder	3020		FALSE
join	2988		FALSE
jfrog	2958		FALSE
aws-global-configuration	2928		FALSE
workflow-cps-global-lib-http	2924		FALSE
notification	2922		FALSE
managed-scripts	2899		FALSE
purge-build-queue-plugin	2891		FALSE
publish-over-cifs	2881		FALSE
shiningpanda	2855		FALSE
folder-auth	2846		FALSE
adoptopenjdk	2831		FALSE
buildtriggerbadge	2788		FALSE
aws-secrets-manager-credentials-provider	2778		FALSE
sectioned-view	2756		FALSE
maven-info	2748		FALSE
opentelemetry-api	2733		FALSE
hudson-wsclean-plugin	2730		FALSE
next-executions	2704		FALSE
webhook-step	2703		FALSE
artifactdeployer	2702	https://github.com/jenkinsci/artifactdeployer-plugin/pull/95	TRUE
logstash	2686		FALSE
xtrigger-api	2659		FALSE
maven-artifact-choicelistprovider	2648		FALSE
github-checks	2639		FALSE
kubernetes-pipeline-devops-steps	2638		FALSE
nvm-wrapper	2637		FALSE
gitlab-hook	2603		FALSE
jira-trigger	2603		FALSE
influxdb	2588		FALSE
repo	2576		FALSE
qy-wechat-notification	2517		FALSE
gitee	2505		FALSE
datadog	2495		FALSE
scp	2487		FALSE
async-http-client	2466		FALSE
splunk-devops	2462		FALSE
solarized-theme	2450		FALSE
show-build-parameters	2446		FALSE
gatling	2443		FALSE
remote-file	2433		FALSE
email-ext-recipients-column	2412		FALSE
bitbucket-oauth	2407		FALSE
cors-filter	2396		FALSE
convert-to-pipeline	2390		FALSE
clover	2376		FALSE
