plugin_name,install_count,pr_url,is_merged,build_status
localization-zh-cn,45598,FALSE,,build_failed
conditional-buildstep,44557,FALSE,,success
envinject-api,44250,FALSE,,build_failed
blueocean,44120,FALSE,,build_failed
jquery-detached,43782,FALSE,,no_build_file
envinject,42000,FALSE,,build_failed
gitlab-plugin,41385,FALSE,,success
commons-compress-api,40347,FALSE,,success
sonar,39938,FALSE,,build_failed
prism-api,39573,FALSE,,build_failed
ansicolor,38625,FALSE,,success
docker-java-api,37254,FALSE,,success
rebuild,36721,FALSE,,build_failed
copyartifact,34986,FALSE,,success
mercurial,34525,FALSE,,success
uno-choice,34201,FALSE,,success
docker-plugin,33437,FALSE,,success
kubernetes-client-api,31123,FALSE,,success
slack,30833,FALSE,,success
kubernetes-credentials,30618,FALSE,,build_failed
configuration-as-code,30436,FALSE,,success
cloud-stats,30278,FALSE,,success
build-user-vars-plugin,29861,FALSE,,build_failed
aws-java-sdk-minimal,29541,FALSE,,build_failed
job-dsl,29461,FALSE,,success
aws-credentials,28960,FALSE,,success
aws-java-sdk-ec2,28509,FALSE,,build_failed
jira,28386,FALSE,,success
jobConfigHistory,28322,FALSE,,success
kubernetes,28288,FALSE,,success
generic-webhook-trigger,28249,FALSE,,success
pipeline-model-declarative-agent,28078,FALSE,,success
blueocean-autofavorite,28016,FALSE,,build_failed
ssh,26121,FALSE,,build_failed
forensics-api,25536,FALSE,,build_failed
build-name-setter,25246,FALSE,,success
extended-choice-parameter,25184,FALSE,,build_failed
active-directory,24912,FALSE,,success
http_request,24773,FALSE,,success
dashboard-view,24576,FALSE,,success
thinBackup,23921,FALSE,,success
oss-symbols-api,22912,FALSE,,success
groovy,21438,FALSE,,build_failed
pipeline-maven,20891,FALSE,,success
aws-java-sdk-ecr,20643,FALSE,,build_failed
aws-java-sdk,19766,FALSE,,build_failed
locale,19744,FALSE,,success
aws-java-sdk-iam,19322,FALSE,,build_failed
aws-java-sdk-cloudformation,19278,FALSE,,build_failed
aws-java-sdk-elasticbeanstalk,19273,FALSE,,build_failed
ssh-steps,19010,FALSE,,build_failed
jnr-posix-api,18642,FALSE,,success
simple-theme-plugin,18572,FALSE,,success
blueocean-jira,18162,FALSE,,build_failed
aws-java-sdk-sqs,18098,FALSE,,build_failed
aws-java-sdk-sns,18070,FALSE,,build_failed
authorize-project,17816,FALSE,,build_failed
gitlab-api,17720,FALSE,,build_failed
bitbucket,17557,FALSE,,success
aws-java-sdk-ecs,17467,FALSE,,build_failed
analysis-model-api,17346,FALSE,,build_failed
aws-java-sdk-ssm,17017,FALSE,,build_failed
aws-java-sdk-codebuild,17008,FALSE,,build_failed
aws-java-sdk-logs,17003,FALSE,,build_failed
jsoup,16575,FALSE,,not_in_csv
warnings-ng,16517,FALSE,,success
emailext-template,16457,FALSE,,success
mask-passwords,16216,FALSE,,success
artifactory,16156,FALSE,,build_failed
badge,15990,FALSE,,success
throttle-concurrents,15961,FALSE,,success
parameterized-scheduler,15931,FALSE,,success
aws-java-sdk-efs,15880,FALSE,,build_failed
extended-read-permission,15753,FALSE,,build_failed
Office-365-Connector,15625,FALSE,,success
powershell,15283,FALSE,,build_failed
ansible,15207,FALSE,,success
commons-httpclient3-api,15165,FALSE,,build_failed
monitoring,15109,FALSE,,build_failed
pipeline-maven-api,14878,FALSE,,success
nodelabelparameter,14572,FALSE,,success
code-coverage-api,14498,FALSE,,build_failed
saml,14452,FALSE,,success
msbuild,14379,FALSE,,success
built-on-column,14278,FALSE,,success
multiple-scms,14202,FALSE,,build_failed
jacoco,14145,FALSE,,build_failed
groovy-postbuild,14137,FALSE,,success
build-pipeline-plugin,14035,FALSE,,build_failed
prometheus,13834,FALSE,,build_failed
aws-java-sdk-secretsmanager,13736,FALSE,,build_failed
aws-java-sdk-kinesis,13710,FALSE,,build_failed
h2-api,13639,FALSE,,success
postbuild-task,13589,FALSE,,success
aws-java-sdk-lambda,13082,FALSE,,build_failed
aws-java-sdk-elasticloadbalancingv2,13079,FALSE,,build_failed
aws-java-sdk-organizations,13079,FALSE,,build_failed
aws-java-sdk-cloudfront,13078,FALSE,,build_failed
aws-java-sdk-codedeploy,13073,FALSE,,build_failed
aws-java-sdk-api-gateway,13068,FALSE,,not_in_csv
coverage,12971,FALSE,,build_failed
cobertura,12917,FALSE,,build_failed
allure-jenkins-plugin,12686,FALSE,,build_failed
job-import-plugin,12562,FALSE,,not_in_csv
extensible-choice-parameter,12498,FALSE,,not_in_csv
cvs,12466,FALSE,,not_in_csv
icon-shim,12384,FALSE,,not_in_csv
node-iterator-api,12140,FALSE,,not_in_csv
ivy,11867,FALSE,,not_in_csv
build-timestamp,11847,FALSE,,not_in_csv
pipeline-aws,11792,FALSE,,not_in_csv
Parameterized-Remote-Trigger,11665,FALSE,,not_in_csv
aws-java-sdk2-core,11631,FALSE,,not_in_csv
aws-java-sdk2-ec2,11604,FALSE,,not_in_csv
gitlab-oauth,11161,FALSE,,not_in_csv
xunit,11048,FALSE,,not_in_csv
oauth-credentials,10958,FALSE,,not_in_csv
jenkins-multijob-plugin,10857,FALSE,,not_in_csv
build-monitor-plugin,10796,FALSE,,not_in_csv
embeddable-build-status,10787,FALSE,,not_in_csv
build-with-parameters,10777,FALSE,,not_in_csv
aws-java-sdk-autoscaling,10715,FALSE,,not_in_csv
dtkit-api,10540,FALSE,,not_in_csv
github-pullrequest,10091,FALSE,,not_in_csv
build-blocker-plugin,9624,FALSE,,not_in_csv
greenballs,9592,FALSE,,not_in_csv
github-oauth,9584,FALSE,,not_in_csv
docker-build-step,9550,FALSE,,not_in_csv
basic-branch-build-strategies,9450,FALSE,,not_in_csv
gitlab-branch-source,9411,FALSE,,not_in_csv
view-job-filters,9211,FALSE,,not_in_csv
performance,9201,FALSE,,not_in_csv
cloudbees-disk-usage-simple,9164,FALSE,,not_in_csv
postbuildscript,9157,FALSE,,not_in_csv
google-oauth-plugin,9153,FALSE,,not_in_csv
kubernetes-cli,9041,FALSE,,not_in_csv
ec2,9009,FALSE,,not_in_csv
naginator,8894,FALSE,,not_in_csv
saferestart,8731,FALSE,,not_in_csv
translation,8721,FALSE,,not_in_csv
log-parser,8436,FALSE,,not_in_csv
audit-trail,8370,FALSE,,not_in_csv
azure-sdk,8269,FALSE,,not_in_csv
python,8157,FALSE,,not_in_csv
build-token-root,8110,FALSE,,not_in_csv
cucumber-reports,7987,FALSE,,not_in_csv
description-setter,7879,FALSE,,not_in_csv
pipeline-github,7874,FALSE,,not_in_csv
dependency-check-jenkins-plugin,7827,FALSE,,not_in_csv
hashicorp-vault-plugin,7623,FALSE,,not_in_csv
deploy,7567,FALSE,,not_in_csv
hidden-parameter,7436,FALSE,,not_in_csv
pipeline-multibranch-defaults,7195,FALSE,,not_in_csv
promoted-builds,7112,FALSE,,not_in_csv
disk-usage,7074,FALSE,,not_in_csv
jquery-ui,7029,FALSE,,not_in_csv
file-operations,7025,FALSE,,not_in_csv
flatpickr-api,6943,FALSE,,not_in_csv
amazon-ecr,6843,FALSE,,not_in_csv
file-parameters,6802,FALSE,,not_in_csv
next-build-number,6799,FALSE,,not_in_csv
plugin-usage-plugin,6745,FALSE,,not_in_csv
robot,6681,FALSE,,not_in_csv
m2release,6669,FALSE,,not_in_csv
s3,6420,FALSE,,not_in_csv
validating-string-parameter,6316,FALSE,,not_in_csv
atlassian-bitbucket-server-integration,6303,FALSE,,not_in_csv
nested-view,6204,FALSE,,not_in_csv
parameter-separator,6126,FALSE,,not_in_csv
test-results-analyzer,6121,FALSE,,not_in_csv
docker-build-publish,6101,FALSE,,not_in_csv
ghprb,6025,FALSE,,not_in_csv
configurationslicing,5945,FALSE,,not_in_csv
nexus-artifact-uploader,5901,FALSE,,not_in_csv
testng-plugin,5898,FALSE,,not_in_csv
analysis-core,5836,FALSE,,not_in_csv
text-finder,5826,FALSE,,not_in_csv
stashNotifier,5796,FALSE,,not_in_csv
git-changelog,5795,FALSE,,not_in_csv
aws-java-sdk-cloudwatch,5673,FALSE,,not_in_csv
extra-columns,5562,FALSE,,not_in_csv
scriptler,5558,FALSE,,not_in_csv
publish-over-ftp,5527,FALSE,,not_in_csv
strict-crumb-issuer,5481,FALSE,,not_in_csv
delivery-pipeline-plugin,5411,FALSE,,not_in_csv
permissive-script-security,5354,FALSE,,not_in_csv
pipeline-npm,5336,FALSE,,not_in_csv
github-organization-folder,5325,FALSE,,not_in_csv
gerrit-trigger,5275,FALSE,,not_in_csv
kubernetes-credentials-provider,5244,FALSE,,not_in_csv
discard-old-build,5226,FALSE,,not_in_csv
swarm,5194,FALSE,,not_in_csv
dingding-notifications,5125,FALSE,,not_in_csv
sidebar-link,5114,FALSE,,not_in_csv
emoji-symbols-api,5076,FALSE,,not_in_csv
oic-auth,5055,FALSE,,not_in_csv
schedule-build,5039,FALSE,,not_in_csv
skip-certificate-check,4970,FALSE,,not_in_csv
gitlab-merge-request-jenkins,4898,FALSE,,not_in_csv
flexible-publish,4843,FALSE,,not_in_csv
build-failure-analyzer,4802,FALSE,,not_in_csv
p4,4740,FALSE,,not_in_csv
azure-credentials,4696,FALSE,,not_in_csv
azure-ad,4662,FALSE,,not_in_csv
job-restrictions,4621,FALSE,,not_in_csv
global-build-stats,4567,FALSE,,not_in_csv
sonar-quality-gates,4566,FALSE,,not_in_csv
ssh2easy,4518,FALSE,,not_in_csv
